index,value
1233,0.0489066
1234,0.0728852
1235,0.0490016
1236,0.0668963
1237,0.0311187
1238,0.0193328
1239,0.040412
1240,0.0427494
1241,0.0841596
1242,0.0400499
1243,0.0200492
1244,0.0351362
1245,0.0486161
1246,0.0454754
1247,0.048678
1248,0.0374569
1249,0.0638467
1250,0.0325497
1251,0.0324508
1252,0.08097
1253,0.0600097
1254,0.0369015
1255,0.0550115
1256,0.0433285
1257,0.035685
1258,0.0646762
1259,0.0449753
1260,0.0794455
1261,0.0794427
1262,0.0643325
1263,0.0592937
1264,0.0222509
1265,0.0412812
1266,0.0431245
1267,0.0399665
1268,0.0561875
1269,0.0587651
1270,0.0267098
1271,0.0409485
1272,0.0592037
1273,0.0443036
1274,0.0320231
1275,0.0180187
1276,0.0296633
1277,0.0244675
1278,0.0218295
1279,0.0581211
1280,0.0540833
1281,0.0571506
1282,0.0239627
1283,0.024103
1284,0.0680339
1285,0.0672273
1286,0.0390449
1287,0.0462155
1288,0.047306
1289,0.0221593
1290,0.0318013
1291,0.0265305
1292,0.0319382
1293,0.0259286
1294,0.0597852
1295,0.0171625
1296,0.0277212
1297,0.0624326
1298,0.019816
1299,0.0734987
1300,0.0520565
1301,0.0496505
1302,0.0242899
1303,0.0481365
1304,0.0448038
1305,0.0713997
1306,0.0776889
1307,0.0446694
1308,0.0740037
1309,0.0736183
1310,0.0801968
1311,0.0708173
1312,0.0324036
1313,0.0572764
1314,0.0152525
1315,0.0111137
1316,0.032587
1317,0.0106178
1318,0.0260988
1319,0.0440039
1320,0.00961002
1321,0.0184688
1322,0.0275674
1323,0.0175729
1324,0.016124
1325,0.00167754
1326,0.0187907
1327,0.0721071
1328,0.0572461
1329,0.089645
1330,0.0770991
1331,0.067388
1332,0.0792849
1333,0.0224642
1334,0.0470134
1335,0.0197311
1336,0.0560624
1337,0.08914
1338,0.0825919
1339,0.0770878
1340,0.0300093
1341,0.042134
1342,0.0697343
1343,0.0681546
1344,0.0425968
1345,0.0708026
1346,0.0735781
1347,0.0665783
1348,0.0640157
1349,0.0597521
1350,0.0229942
1351,0.0618429
1352,0.0459759
1353,0.0329872
1354,0.0226398
1355,0.0285275
1356,0.0347103
1357,0.0363744
1358,0.0684169
1359,0.0341368
1360,0.0613372
1361,0.0341737
1362,0.0824003
1363,0.0912894
1364,0.0819696
1365,0.0700129
1366,0.046942
1367,0.0448541
1368,0.0326215
1369,0.0220286
1370,0.0809862
1371,0.0246432
1372,0.0131033
1373,0.0141652
1374,0.0610579
1375,0.0328981
1376,0.0723003
1377,0.0734279
1378,0.0694568
1379,0.0407825
1380,0.0200256
1381,0.0566612
1382,0.0375557
1383,0.0189947
1384,0.0386013
1385,0.0900172
1386,0.0731929
1387,0.0215828
1388,0.0500864
1389,0.0846953
1390,0.0750865
1391,0.0928285
1392,0.0856195
1393,0.0552574
1394,0.0279639
1395,0.0447024
1396,0.087295
1397,0.0418263
1398,0.0276672
1399,0.0449197
1400,0.0821136
1401,0.0342464
1402,0.032045
1403,0.045693
1404,0.0488266
1405,0.0238133
1406,0.0548893
1407,0.0232777
1408,0.0529346
1409,0.0311768
1410,0.0433743
1411,0.00885931
1412,0.0163114
1413,0.0148076
1414,0.062251
1415,0.0560344
1416,0.0336991
1417,0.0418149
1418,0.0208156
1419,0.0285199
1420,0.0664216
1421,0.0675645
1422,0.0696286
1423,0.0494467
1424,0.0716515
1425,0.0651868
1426,0.021702
1427,0.0782374
1428,0.0606824
1429,0.0337967
1430,0.034374
1431,0.0722437
1432,0.0478101
1433,0.0597466
1434,0.0362262
1435,0.0625127
1436,0.0507595
1437,0.0715979
1438,0.0753965
1439,0.0519726
1440,0.0600219
1441,0.0288883
1442,0.0428941
1443,0.0166856
1444,0.0220843
1445,0.0564013
1446,0.0244308
1447,0.0435799
1448,0.0654557
1449,0.0453721
1450,0.0226675
1451,0.0203387
1452,0.037379
1453,0.0494439
1454,0.0656707
1455,0.0504382
1456,0.0699673
1457,0.0445554
1458,0.045972
1459,0.0356683
1460,0.0748013
1461,0.0280661
1462,0.0626907
1463,0.0437826
1464,0.0458136
1465,0.0319407
1466,0.0392434
1467,0.063848
1468,0.0602135
1469,0.0711407
1470,0.0468606
1471,0.0841642
1472,0.0333939
1473,0.0310359
1474,0.0432641
1475,0.025148
1476,0.0364616
1477,0.0686911
1478,0.0260441
1479,0.0655045
1480,0.0239302
1481,0.0321392
1482,0.0428712
1483,0.0711055
1484,0.0675244
1485,0.0439414
1486,0.0566342
1487,0.0246704
1488,0.0208755
1489,0.0480905
1490,0.0546815
1491,0.0587806
1492,0.0573229
1493,0.0498236
1494,0.035383
1495,0.0776741
1496,0.0763313
1497,0.0407018
1498,0.0428928
1499,0.0183174
1500,0.0450393
1501,0.0565266
1502,0.0553831
1503,0.0933375
1504,0.0326397
1505,0.0317816
1506,0.0420956
1507,0.0706173
1508,0.0279672
1509,0.0473882
1510,0.0392907
1511,0.0758354
1512,0.0873821
1513,0.0699435
1514,0.0316618
1515,0.0146657
1516,0.0458956
1517,0.0273618
1518,0.0446675
1519,0.0337492
1520,0.0770265
1521,0.0544574
1522,0.0273896
1523,0.0525585
1524,0.0540018
1525,0.0439115
1526,0.0223696
1527,0.0184136
1528,0.0470271
1529,0.0282544
1530,0.0602967
1531,0.0522022
1532,0.0620964
1533,0.0439363
1534,0.052416
1535,0.0832108
1536,0.0592215
1537,0.0119687
1538,0.0512486
1539,0.0193871
1540,0.0304961
1541,0.0551533
1542,0.0129357
1543,0.0471073
1544,0.0679654
1545,0.04305
1546,0.0271285
1547,0.0776903
1548,0.0206691
1549,0.0537428
1550,0.0616166
1551,0.0555325
1552,0.0471016
1553,0.0723913
1554,0.0682432
1555,0.0525451
1556,0.0376225
1557,0.067119
1558,0.052107
1559,0.0407409
1560,0.0614472
1561,0.0124916
1562,0.0310596
1563,0.0274397
1564,0.0558165
1565,0.0269544
1566,0.0459207
1567,0.0486321
1568,0.0587103
1569,0.0539929
1570,0.0402411
1571,0.0342633
1572,0.0436951
1573,0.0530088
1574,0.0398681
1575,0.0586786
1576,0.0219296
1577,0.0366981
1578,0.0300513
1579,0.0176271
1580,0.0402547
1581,0.0763895
1582,0.0490039
1583,0.0181486
1584,0.0410273
1585,0.0660039
1586,0.0227104
1587,0.0213418
1588,0.0811237
1589,0.0860928
1590,0.0719006
1591,0.0313507
1592,0.0305195
1593,0.0425891
1594,0.0779002
1595,0.0493482
1596,0.0453909
1597,0.0435677
1598,0.0617432
1599,0.0210399
1600,0.0451622
1601,0.0389342
1602,0.0598901
1603,0.0429419
1604,0.0237569
1605,0.0341996
1606,0.016795
1607,0.0184332
1608,0.0376352
1609,0.0202031
1610,0.0267273
1611,0.0283497
1612,0.0439485
1613,0.0170177
1614,0.0456565
1615,0.068507
1616,0.0748753
1617,0.0466912
1618,0.0407358
1619,0.0452463
1620,0.0443949
1621,0.0712222
1622,0.0766541
1623,0.0691609
1624,0.0513387
1625,0.0630485
1626,0.0531595
1627,0.0281041
1628,0.0167604
1629,0.018315
1630,0.0598406
1631,0.0630089
1632,0.0685121
1633,0.0611507
1634,0.0325727
1635,0.0188857
1636,0.0517002
1637,0.0211794
1638,0.0284089
1639,0.033228
1640,0.0253267
1641,0.0651384
1642,0.0360521
1643,0.0319056
1644,0.0373601
1645,0.0276762
1646,0.0280912
1647,0.0574895
1648,0.0621493
1649,0.0697023
1650,0.0469176
1651,0.0292415
1652,0.0778274
1653,0.0777534
1654,0.0787319
1655,0.0334822
1656,0.0572464
1657,0.0713562
1658,0.0167002
1659,0.0463297
1660,0.0635593
1661,0.0427594
1662,0.0701205
1663,0.0502352
1664,0.0388107
1665,0.0550321
1666,0.0737271
1667,0.038782
1668,0.0668105
1669,0.0628339
1670,0.0196492
1671,0.0631113
1672,0.0637584
1673,0.032868
1674,0.0674278
1675,0.0356755
1676,0.063834
1677,0.0210909
1678,0.0336829
1679,0.0447932
1680,0.0230201
